Country,Percentage,Submission,Population
Denmark,0.001241907,71,5717014
Norway,0.000995548,52,5223256
Netherlands,0.000963584,164,17019800
France,0.000647579,432,66710000
New Zealand,0.000596017,28,4697854
Belgium,0.000591898,67,11319511
Switzerland,0.000491512,41,8341600
United Kingdom,0.00048994,319,65110000
Sweden,0.000474993,47,9894888
Australia,0.000364882,88,24117360
Croatia,0.000357938,15,4190669
Austria,0.000320883,28,8725931
Latvia,0.000305873,6,1961600
Iceland,0.000299133,1,334300
Canada,0.000271052,98,36155487
Bahamas,0.000264522,1,378040
Czech Republic,0.000255718,27,10558524
Portugal,0.000250607,26,10374822
USA,0.000218863,709,323947000
Singapore,0.000216802,12,5535000
Finland,0.000200298,11,5491817
Serbia,0.000197841,14,7076372
Italy,0.000197806,120,60665551
Slovenia,0.000145336,3,2064188
Spain,0.000137817,64,46438422
Germany,0.000136968,112,81770900
Greece,0.000128937,14,10858018
Poland,0.000119676,46,38437239
Georgia,0.000107515,4,3720400
Slovakia,7.37157E-05,4,5426252
Lithuania,6.96308E-05,2,2872294
Israel,5.86345E-05,5,8527400
Ukraine,4.45044E-05,19,42692393
United Arab Emirates,4.05844E-05,4,9856000
Japan,3.70195E-05,47,126960000
Romania,3.52442E-05,7,19861408
Argentina,3.44112E-05,15,43590400
Paraguay,2.91778E-05,2,6854536
Bulgaria,2.79572E-05,2,7153784
Brazil,2.52261E-05,52,206135893
Russia,2.38746E-05,35,146599183
Chile,2.19878E-05,4,18191900
Hungary,2.03604E-05,2,9823000
Colombia,1.84578E-05,9,48759958
Ireland,1.56789E-05,1,6378000
Azerbaijan,1.0277E-05,1,9730500
South Africa,7.18731E-06,4,55653654
Guatemala,6.18195E-06,1,16176133
Mexico,5.72487E-06,7,122273473
Turkey,5.07994E-06,4,78741053
Philippines,3.87297E-06,4,103279800
Venezuela,3.22282E-06,1,31028700
Thailand,1.53075E-06,1,65327652
China,8.71E-07,12,1377422166
India,5.40E-07,7,1295210000
