Country,Percentage,Submission,Population
Denmark,6.99666E-05,4,5717014
Netherlands,5.28796E-05,9,17019800
France,3.14795E-05,21,66710000
Sweden,2.02125E-05,2,9894888
Norway,1.91451E-05,1,5223256
Singapore,1.80668E-05,1,5535000
United Kingdom,1.68945E-05,11,65110000
Paraguay,1.45889E-05,1,6854536
Switzerland,1.19881E-05,1,8341600
Austria,1.14601E-05,1,8725931
Canada,1.10633E-05,4,36155487
Portugal,9.63872E-06,1,10374822
Belgium,8.8343E-06,1,11319511
USA,8.026E-06,26,323947000
Australia,4.14639E-06,1,24117360
Poland,2.60164E-06,1,38437239
Germany,2.44586E-06,2,81770900
Ukraine,2.34234E-06,1,42692393
Italy,1.64838E-06,1,60665551
Brazil,4.85E-07,1,206135893
