Sun Aug 13 2017 20:26:42 GMT+0800 (Taipei Standard Time)
Country,Percentage,Submission,Population
Denmark,0.0012419070514782717,71,5717014
Norway,0.0009955476047890433,52,5223256
Netherlands,0.0009635835908765086,164,17019800
France,0.0006475790736021586,432,66710000
New Zealand,0.000596016819594649,28,4697854
Belgium,0.0005918983602736902,67,11319511
Switzerland,0.0004915124196796778,41,8341600
United Kingdom,0.0004899401013669175,319,65110000
Sweden,0.0004749927437278724,47,9894888
Australia,0.00036488239177090697,88,24117360
Croatia,0.0003579380762355605,15,4190669
Austria,0.00032088266570065707,28,8725931
Latvia,0.0003058727569331158,6,1961600
Iceland,0.0002991325157044571,1,334300
Canada,0.00027105152808479667,98,36155487
Bahamas,0.00026452227277536767,1,378040
Czech Republic,0.00025571756052266396,27,10558524
Portugal,0.00025060670920426395,26,10374822
USA,0.0002188629621512161,709,323947000
Singapore,0.0002168021680216802,12,5535000
Finland,0.0002002980070166213,11,5491817
Serbia,0.00019784149278754707,14,7076372
Italy,0.00019780583547324905,120,60665551
Slovenia,0.00014533559927681008,3,2064188
Spain,0.0001378169137616261,64,46438422
Germany,0.0001369680411980301,112,81770900
Greece,0.00012893697542221795,14,10858018
Poland,0.0001196756093745443,46,38437239
Georgia,0.00010751532093323298,4,3720400
Slovakia,0.00007371570653187503,4,5426252
Lithuania,0.00006963075506894489,2,2872294
Israel,0.00005863451931421067,5,8527400
Ukraine,0.00004450441557586149,19,42692393
United Arab Emirates,0.000040584415584415584,4,9856000
Japan,0.00003701953371140517,47,126960000
Romania,0.00003524422840515637,7,19861408
Argentina,0.000034411246512993686,15,43590400
Paraguay,0.00002917775907807618,2,6854536
Bulgaria,0.00002795723214455455,2,7153784
Brazil,0.000025226077440089482,52,206135893
Russia,0.000023874621456792157,35,146599183
Chile,0.00002198780776059675,4,18191900
Hungary,0.000020360378703043877,2,9823000
Colombia,0.00001845776815476338,9,48759958
Ireland,0.000015678896205707117,1,6378000
Azerbaijan,0.000010276964184779816,1,9730500
South Africa,0.000007187308851275067,4,55653654
Guatemala,0.000006181947193436157,1,16176133
Mexico,0.00000572487214786154,7,122273473
Turkey,0.000005079942225309077,4,78741053
Philippines,0.000003872974192436469,4,103279800
Venezuela,0.000003222822741526394,1,31028700
Thailand,0.000001530745357264639,1,65327652
China,8.711926013828936e-7,12,1377422166
India,5.40452899529806e-7,7,1295210000
