Sun Aug 13 2017 20:26:52 GMT+0800 (Taipei Standard Time)
Country,Percentage,Submission,Population
Denmark,0.00005247494583711007,3,5717014
Belgium,0.00001766860776936389,2,11319511
Switzerland,0.000011988107797065312,1,8341600
Netherlands,0.00001175101940093303,2,17019800
Austria,0.000011460095203594894,1,8725931
Sweden,0.000010106228589954733,1,9894888
France,0.00000449707690001499,3,66710000
Italy,0.0000016483819622770757,1,60665551
United Kingdom,0.000001535862386730149,1,65110000
USA,9.260774138979525e-7,3,323947000
